,Название,Город,Описание,Ссылки
153,Setner,Москва,"Setner®Authentic Brand","['https://instagram.com/setner.brand?ref=russianstreetwear.club', 'https://vk.com/setnerbrand?ref=russianstreetwear.club']"
154,SHEAD,Владивосток,None,"['https://sheadclo.com/?ref=russianstreetwear.club', 'https://www.instagram.com/sheadclo?ref=russianstreetwear.club', 'https://vk.com/sheadclo?ref=russianstreetwear.club']"
155,SHEILONE,Владивосток,"SHEILONE — создан, чтобы воссоздать воедино образ рейв движения и развить моду по всему земному шару.","['https://www.instagram.com/sheilone/?ref=russianstreetwear.club', 'https://vk.com/sheilone?ref=russianstreetwear.club', 'https://vk.link/sheilone?ref=russianstreetwear.club']"
156,Shooters Club,Москва,None,"['https://instagram.com/shootersclub.ig?ref=russianstreetwear.club', 'https://vk.com/shooters.club?ref=russianstreetwear.club']"
157,SHU,Москва,"SHU — БРЕНД ЛАКОНИЧНОЙ И ФУНКЦИОНАЛЬНОЙ ОДЕЖДЫ ДЛЯ ПОВСЕДНЕВНОЙ ЖИЗНИ. За десять лет SHU прошел путь от ручного пошива плащей до масштабного фабричного производства. Сегодня мы выпускаем две сезонные коллекции в год и несколько тематических линеек, в которые входят одежда, аксессуары и повседневные предметы. Все наши продукты простые, универсальные и функциональные. Этот подход мы используем не только в дизайне одежды, но и в интерьерах наших магазинов, где все формы лаконичны, а каждая деталь продумана и имеет конкретное назначение.","['https://shuclothes.com/?ref=russianstreetwear.club', 'https://www.instagram.com/shu_clothes?ref=russianstreetwear.club', 'https://vk.com/shuclothes?ref=russianstreetwear.club']"
158,SILENCE CLOTHING,Дмитров,Больше чем бренд.Больше чем SILENCE.,"['https://www.silenceclothing.ru/?ref=russianstreetwear.club', 'https://vk.com/silenceclothing?ref=russianstreetwear.club', 'https://www.instagram.com/silencefit?ref=russianstreetwear.club']"
159,Snakejaws,Санкт-Петербург, ,"['https://www.snakejaws.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/snakejawsoveralls/?ref=russianstreetwear.club', 'https://vk.com/snakejaws?ref=russianstreetwear.club']"
160,SNRG,Москва,"Одежда, в которой каждый найдет себя","['https://snrgwear.ru/?ref=russianstreetwear.club', 'https://t.me/snrg_wear?ref=russianstreetwear.club', 'https://instagram.com/snrg_wear?ref=russianstreetwear.club']"
161,Some People,Москва,"Российско-грузинская марка. Основана в 2020 году.В своей дебютной коллекции бренд представил унисекс модели одежды: идеальные базовые футболки, футболки с принтами в стиле «неоэкспрессионизм», линейку дизайнерских худи. А также минималистичные платья, рубашки и брюки для сезона весна-лето 2021","['https://somepeoplewear.com/?ref=russianstreetwear.club', 'https://www.instagram.com/somepeople_wear/?ref=russianstreetwear.club']"
162,Ssanaya Tryapka,Москва,Анонимный арт-проект из России.Наш проект объединяет в себе модную индустрию и современное искусство. Каждая коллекция посвящена отдельной теме со своей проблематикой и объектом исследования. Мы говорим о волнующих нас проблемах и раскрываем актуальные темы.,"['http://sstr.fashion/?ref=russianstreetwear.club', 'https://www.instagram.com/ssanaya_tryapka/?ref=russianstreetwear.club', 'https://www.facebook.com/sstr.fashion/?ref=russianstreetwear.club', 'https://vk.com/ss_tr?ref=russianstreetwear.club']"
163,Street Republic,Москва,Отечественный бренд премиальной повседневной уличной одежды.,"['https://streetrepublic.ru/?ref=russianstreetwear.club', 'https://instagram.com/sr.wear?ref=russianstreetwear.club', 'https://vk.com/sr.wear?ref=russianstreetwear.club']"
164,StreetVir,Санкт-Петербург,"StreetVir - это новаторский и энергичный бренд, созданный дизайнером и предпринимателем Easy G. Вдохновляясь миром стритвир моды, рэпом, современным искусством и этой жизнью, в которой можно достичь всего, что пожелаешь, Easy выпустил свою первую коллекцию в 2023 году.","['https://streetvir.com/?ref=russianstreetwear.club', 'https://instagram.com/streetvir?ref=russianstreetwear.club', 'https://vk.com/streetvir?ref=russianstreetwear.club']"
165,STYL-O LABEL,Екатеринбург,"STYL-O LABEL это бренд с интернациональной историей, объединивший в себе свободу и стиль. Создан в 2020 году в сотворчестве двух друзей из Индии и России, вдохновлён хип-хоп культурой, брейкингом и стрит-артом.  Следуя лучшим традициям производства качественных и доступных изделий, мы отшиваем продукцию в Бангалоре и Екатеринбурге, сотрудничая с графическими дизайнерами и художниками двух стран.  STYLE & ORIGINAL - Уличный стиль и оригинальная самобытность","['https://www.stylolabel.com/?ref=russianstreetwear.club', 'https://instagram.com/stylolabel.russia?ref=russianstreetwear.club', 'https://vk.com/stylolabel?ref=russianstreetwear.club']"
166,Surfer Raincoats,Сочи,Непромокаемая одежда из мембранной ткани для города и путешествий.,"['http://surferraincoats.com/?ref=russianstreetwear.club', 'https://www.instagram.com/surferraincoats?ref=russianstreetwear.club']"
167,SWAGGA LUV,Калининград,"Swagga Luv - одежда, которая разбавит твой повседневный лук)Любишь вещи в стиле streetwear? Тогда тебе к нам!","['https://swagga-luv.com/?ref=russianstreetwear.club', 'https://www.instagram.com/swagga_luv?ref=russianstreetwear.club', 'https://vk.com/swagga_luv?ref=russianstreetwear.club']"
168,SYMPTOMS,Москва,"SYMPTOMS ® — ЭТО БРЕНД УЛИЧНОЙ ОДЕЖДЫ, ОСНОВАННЫЙ В 2020 ГОДУ, ВДОХНОВЛЕННЫЙ ЭСТЕТИКОЙ ДАННЫХ, ЭНЕРГИЕЙ СОВРЕМЕННОГО МИРА, И ЧЕЛОВЕКА В НЕМ◊.ТРАНСЛИРУЯ СВОЮ ФИЛОСОФИЮ ЧЕРЕЗ ГРАФИЧЕСКИЕ ОБРАЗЫ ВИЗУАЛЬНОГО ИСКУССТВА И МЕДИАДИЗАЙНА, SYMPTOMS ОСТАЕТСЯ В БЕСКОНЕЧНОМ ДВИЖЕНИИ, МЕНЯЯСЬ ОТ СЕЗОНА К СЕЗОНУ 𐄂","['https://symptoms-tm.com/?ref=russianstreetwear.club', 'https://www.instagram.com/symptoms.tm/?ref=russianstreetwear.club', 'https://www.facebook.com/symptoms.tm?ref=russianstreetwear.club']"
169,SYNOPTIC,Екатеринбург,"Человек имеет свойство восхищаться искусством, но искусства бывают разные и им нет предела, Synoptic - это наше новорожденное искусство в мире русской одежды. Мы не располагаем себя как что то модное, мы лишь олицетворяем некую живопись, которая сидит у нас в голове.","['https://synoptic.store/?ref=russianstreetwear.club', 'https://www.instagram.com/synoptic.clo?ref=russianstreetwear.club', 'https://vk.com/synopticstore?ref=russianstreetwear.club']"
170,synthetics.club,Саратов,"В синтетике формируется художественное коммьюнити, подсвечиваются авторы цифрового контента и генерится новое Платформа предоставляет производственные мощности для материализации работ в синтетические ткани, площадку для коллаборации авторов цифрового контента и маркетплейс для взаимодействия с публикой и коллекционерами synthetics.club верит в синтетические материалы – лучший медиум, для экспонирования цифрового искусства, его тиражирования и репроизводства","['https://synthetics.club/?ref=russianstreetwear.club', 'https://instagram.com/synthetics.club/?ref=russianstreetwear.club', 'https://vk.com/synthetics.club?ref=russianstreetwear.club']"
171,tang tong,Москва,Кунг фу стритстайл.,['https://instagram.com/tangtong_brand?ref=russianstreetwear.club']
172,TONY'LO BRAND,Москва,"Бренд одежды, стиль и комьюнити, которое ты запомнишь навсегда!","['https://tonylo.ru/?ref=russianstreetwear.club', 'https://instagram.com/tonylo.brand?ref=russianstreetwear.club', 'https://vk.com/tonylowear?ref=russianstreetwear.club']"
173,Torch,Москва,"Свобода самовыражения и беспросветный мрак этого мира объединились,чтобы подарить вам уникальный инфернальный стиль.","['https://torch-fff.com/?ref=russianstreetwear.club', 'https://www.instagram.com/_torch_family_/?ref=russianstreetwear.club', 'https://vk.com/torchfamily?ref=russianstreetwear.club']"
174,TSEP /// ЦЕП,Москва,"Московский бренд одежды, затрагивающий тему психических заболеваний в обществе, в современном мире, мы выступаем против стигматизации ментальных заболеваний.","['https://www.instagram.com/tsepbrand/?ref=russianstreetwear.club', 'https://t.me/tsepbrand?ref=russianstreetwear.club']"
175,Two Street,Красноярск,"Мы знаем, как вы не любите тексты, состоящие из воды, поэтому напишем всё по факту:· Бренд основывается на уличном стиле и на нашем видении моды;· Плотная и качественная ткань не позволит одежде испортиться даже от самой плохой стиральной машинки;· Дизайн и функциональность позволяют сочетаться с любыми образами;· Любой человек сможет узнать вас издалека и ваш социальный уровень поднимется на глазах;Употреблять с осторожностью!",['https://vk.com/twostreet?ref=russianstreetwear.club']
176,UDUS,Москва,"Российский бренд одежды, который создает функциональную одежду с акцентом на простоту фасона и удобство. Бренд одежды UDUS создает современную верхнюю и повседневную одежду, соблюдая баланс трех факторов бренда: минималистичность, практичность и функциональность.","['https://udus.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/udus.brand?ref=russianstreetwear.club', 'https://vk.com/udus.brand?ref=russianstreetwear.club']"
177,UNAFFECTED,Москва,"UNAFFECTED – бренд из Москвы, созданный в 2015 году как способ запечатлеть лучшие моменты яркой молодости в одежде. Идея и дух бренда, вкупе с щепетильным отношением к качеству вещей, позволили ему стать по-настоящему народным любимцем с широким рядом бестселлеров. Спортивные костюмы, технологичные и практичные сумки, футболки и толстовки с минималистичными принтами, а также эксперименты с материалами и способами их окраски в виде светоотражающих пигментов или тканей, меняющих цвет от температуры, стали «визитными карточками» бренда, закрепив за ним образ технологичного первопроходца, умеющего удивлять.","['https://unaffected.ru/?ref=russianstreetwear.club', 'https://instagram.com/unaffected.clothing?ref=russianstreetwear.club', 'https://vk.com/unffctd?ref=russianstreetwear.club']"
178,UNFORT,Новосибирск,"UNFORT — российский, концептуальный бренд одежды. Основная цель Unfort — объединенить и вдохновить людей, которые чувствуют наше видение. Раздать им возможность для самовыражения и экспериментов.","['https://www.instagram.com/unfort.4u/?ref=russianstreetwear.club', 'https://t.me/+jWIYRoyk1wAxNTU6?ref=russianstreetwear.club', 'https://vk.com/unfort_4u?ref=russianstreetwear.club']"
179,uniform,Калуга,"Российский бренд, использующий проверенные временем базовые силуэты в комбинации с актуальными трендами, городской униформы. Все вещи шьются из высококачественных материалов высокой плотности с использованием современных технологий на собственном производстве в России.","['https://unfrm.ru/?ref=russianstreetwear.club', 'https://instagram.com/uniform_russia?ref=russianstreetwear.club', 'https://vk.com/uniform_russia?ref=russianstreetwear.club']"
180,UNION outfit,Екатеринбург,"UNION outfit™ – платформа с помощью которой мы переносим в мир наше видение окружающего. Опыт, который мы накопили, выстраивается на фоне многих факторов и событий, связанных с ночной жизнью.Мы чувствуем аудиторию и воздействуем на неё посредством придания изделиям расцветок, форм и ощущений. Словно музыка в которой соединяются рифмы, мелодии, ноты.","['https://vk.com/union.outfit?ref=russianstreetwear.club', 'https://www.instagram.com/union.place/?ref=russianstreetwear.club']"
181,UPGRADEZ,Москва,"Привет! Мы Upgradez и мы создаём streetwear brand и экипировку для брейкинга.Мы - это команда, которая создает этот бренд вместе с основателями Фарходом и Марией, семейной парой, которая объединяет вокруг себя идейных людей, заряженных брейк дансом, музыкой, хип-хопом и производством собственного бренда streetwear, lifestyle и брейк данс экипировки. Исторически бренд специализируется на экипировке для брейкинга с 2016 года, создавая лучшую экипировку в России c продажами на весь мир. Для танцоров мы проектируем технологичную экипировку, которая способна защитить от профессиональных травм и помочь эффективно развиваться. А в 2022 году мы написали для себя новую стратегию, которая включает в себя производство одежды для жизни с нотками хип-хопа и ценностями в виде уверенности в себе, свободы, открытости, широты мышления. Мы про спорт, дисциплину, победы и целеустремленность, но при этом про умение наслаждаться жизнью, любить, легко мыслить, быть открытым новым глобальным идеям.","['http://www.upgradez.ru/?ref=russianstreetwear.club', 'https://instagram.com/upgradez_wear?ref=russianstreetwear.club', 'https://vk.com/upgradez?ref=russianstreetwear.club']"
182,VALUE WÖRLDWIDË,Санкт-Петербург,"TWO BOYS - ONE BRAND - 🌐 жизненные пути двух парней из Петербурга сошлись воедино под идеей проекта бренда одежды ещё в школьные годы, с того времени Value Wörldwidë растет и процветает, а Ценности заложенные еще при создании бренда сохраняются 🖇️ ","['https://instagram.com/valueworldwide?ref=russianstreetwear.club', 'https://vk.com/valueworldwide?ref=russianstreetwear.club']"
183,VERIGA,Астрахань,"Дизайнерский бренд нацеленный на широкую аудиторию тех людей, которые устали от протестующих идеологий.Красивые принты на футболках и дизайнерских реализациях в сочетании с тканями только премиального качества могут гарантировать, что каком-то из них ты найдешь что-то близкое именно тебе.","['https://www.instagram.com/veriga.clothes/?ref=russianstreetwear.club', 'https://vk.com/verigaclothes?ref=russianstreetwear.club']"
184,Vice,Москва,"VICE — стритвир бренд одежды, для тех кто ценит удобство и качество и использующий этот формат в качестве ключевого направления в создании своих дропов","['https://t.me/vice_brand?ref=russianstreetwear.club', 'https://www.instagram.com/vice__brand/?ref=russianstreetwear.club', 'https://vk.com/viceclothers?ref=russianstreetwear.club']"
185,VICTORIAN FALL,Москва,Концептуальный бренд одежды из Москвы.﻿,"['https://www.instagram.com/victorian.fall/?ref=russianstreetwear.club', 'https://m.vk.com/victorian.fall?ref=russianstreetwear.club']"
186,WEMA,Пенза,"WEMA — это бренд повседневной мужской одежды и аксессуаров из Пензы.Создаем с 2021 года. У нас экологичное и простое производство. Шьем одежду, которую носим сами, любим свободную и удлинённую форму изделий. ","['https://wema.one/?ref=russianstreetwear.club', 'https://instagram.com/wema.one?ref=russianstreetwear.club', 'https://vk.com/wemaone?ref=russianstreetwear.club']"
187,whatevs,Нижний Новгород,"Подход к мельчайшим деталям, идеальная посадка вещей и невероятно красивые цвета.","['https://www.instagram.com/whatevsclothes/?ref=russianstreetwear.club', 'https://vk.com/whatevvs?ref=russianstreetwear.club']"
188,Wolee,Санкт-Петербург,"Wolee — проект, вдохновлённый традиционной streetwear эстетикой и уличной культурой, главным героем которого, является кот. Настоящий герой улиц и хозяин собственной жизни.","['https://mrwolee.com/?ref=russianstreetwear.club', 'https://www.instagram.com/mrwolee/?ref=russianstreetwear.club', 'https://vk.com/threat_to_you?ref=russianstreetwear.club']"
189,wondernorthland,Санкт-Петербург,"Wondernorthland — марка из Санкт-Петербурга. Маркой занимается девушка Алиса. Бренд основан в 2019 году после того, как Алиса на последнем курсе Института Культуры и Искусства сшила с помощью одногруппников больше половины костюмов для спектакля «Русалочка» на собственной швейной машинке.",['https://www.instagram.com/wondernorthland?ref=russianstreetwear.club']
190,xcnx,Казань, ,"['http://xcnx.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/xcnx/?ref=russianstreetwear.club', 'https://vk.com/xcnx_corporation?ref=russianstreetwear.club']"
191,YALTA 94 ,Пермь,None,['https://vk.com/yalta94?ref=russianstreetwear.club']
192,YEP-YEP Jewelry,Москва,"- Украшение для свободных от стереотипов- Есть что сказать. Скажи это здесь!- Серебро 925- Пожизненная гарантия",['https://www.instagram.com/yepyepjewelry?ref=russianstreetwear.club']
193,YMKASHIX,Екатеринбург,"YMKASHIX — бренд из Екатеринбурга, объединяющий российское бунтарство и азиатский андеграунд.","['http://www.ymkashix.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/ymkashix/?ref=russianstreetwear.club', 'https://vk.com/ymkashix?ref=russianstreetwear.club']"
194,YUDZI,Краснодар,"YUDZI | Одежда продолжения тебя YUDZI – одежда, которая сделает вашу жизнь комфортной, стильной и уверенной. Раскрой свои скрытые грани, исследуй свой внутренний мир и выражай иной дух. Качество – это не просто слово, это стиль жизни. То самое чувство, ты еще совсем маленький, теплыми вечерами развлекался на улице, испытывая комфорт и счастье детства, ценил людей за то, что они просто есть, делал все, чтобы достичь своих детских целей, унеси это с собой в реальную жизнь, наслаждайся комфортом, только прямо за мечтой. Мы не следуем модным тенденциям, мы создаем их. Создаем комфортную и приятную атмосферу для тебя, людей объединенных одной целью, мечтать, создавать, наслаждаться.","['https://yudzi.ru/?ref=russianstreetwear.club', 'https://instagram.com/yudzi_store?ref=russianstreetwear.club', 'https://vk.com/yudzistore?ref=russianstreetwear.club']"
195,YUGE ЮДЖ *Y-----W ))),Краснодар,CYBERCULT 💚 Apparel Is SecondaryКраснодарский бренд одежды.Сотрудничаем с крутыми художниками и артистами.Используем AR и AI технологии в дизайне.,"['http://yugewear.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/yugewear/?ref=russianstreetwear.club', 'https://vk.com/yugex?ref=russianstreetwear.club']"
196,Z N W R,Москва,Бренд дизайнерской одежды для людей в гармонии с собой и миром вокруг.,"['https://znwr.ru/?ref=russianstreetwear.club', 'https://instagram.com/znwr.store?ref=russianstreetwear.club', 'https://vk.com/znwr_ru?ref=russianstreetwear.club']"
197,Zatmenie,Санкт-Петербург ,Молодежный бренд уличной одежды,"['https://www.instagram.com/zatmenie_cl?ref=russianstreetwear.club', 'https://vk.com/zatmenie_cl?ref=russianstreetwear.club']"
198,ZNY,Москва,"ZNY — бренд одежды нового поколения. Он не копирует прошлое и не предсказывает будущее – он находится в состоянии «здесь и сейчас», транслируя его всему миру. Вдохновением для команды служит поколение Z, которое диктует абсолютную свободу самовыражения в обновленной реальности.","['https://znyworldwide.com/?ref=russianstreetwear.club', 'https://www.instagram.com/zny_worldwide/?ref=russianstreetwear.club', 'https://vk.com/zny_worldwide?ref=russianstreetwear.club']"
199,ZRD streetwear,Воронеж,"ZRD - Российский бренд одежды, появившийся в июле 2015 года.Для нас это стало нечто большее, чем просто марка одежды.Это наша культура улиц, которую мы создаем.","['https://zrdshop.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/zaryadofficial/?ref=russianstreetwear.club', 'https://vk.com/zrdshop?ref=russianstreetwear.club']"
200,Élysée Waylone,Москва,"Élysée Waylone (в прош. ELISEY WAYLONE) - это бренд-перфоманс, трансформация из стритвир бренда выпускающего футболки в проект в ДНК которого вплетены эксперименты с новым виденьем на мир и своим назначением в нём. Одежда для нас не просто предмет гардероба - это возможность передать эстетику элегантности и утонченности, воспитать вкус и стремление к прекрасному в простоте. Наша миссия стать источником уверенности и спокойствия, которые помогут Вам разглядеть свой путь. If you lost, Follow the Blue Moon 🔵","['https://elyseewaylone.com/?ref=russianstreetwear.club', 'https://www.instagram.com/elyseewaylone/?ref=russianstreetwear.club']"
201,ênstore,Санкт-Петербург,ênstore – бренд одежды вдохновленный мировым искусством и уличной модой.,"['https://vk.com/enstore?ref=russianstreetwear.club', 'https://www.instagram.com/enstorespb/?ref=russianstreetwear.club']"
202,АГАПИ,Москва,"АГАПИ – это воплощение стиля и современности, предназначенный для тех, кто ценит оригинальность и исповедует близкие по духу бренда ценности. АГАПИ основывается на философии, где важными ориентирами являются доброта, любовь, сплочение, осознанность, неизменность и созидание. Бренд оставляет право за каждым вкладывать в одежду тот смысл, который он хочет, не навязывая свое. Первая коллекцию уже доступна на сайте. В ней можно найти изделия высокого качества с авторскими принтами, основанными на цитатах из Священного Писания. В дропе также – сумки, чехлы, платки и пояса. Изделия выпускаются только в небольших тиражах. В производстве используются натуральные ткани высокого качества. АГАПИ создает сильное сообщество людей, объединенных общими ценностями и желанием выразить себя. Здесь можно найти не только одежду и аксессуары, но и источник вдохновения для самовыражения. В планах бренда запустить серию ивент-проектов для клиентов бренда и не только.","['https://agapiproject.com/catalog?ref=russianstreetwear.club', 'https://instagram.com/agapi.project?ref=russianstreetwear.club', 'https://t.me/agapiproject?ref=russianstreetwear.club']"
203,АНТОН ЛИСИН,Москва,"""Leave them. They are blind leaders of the blind. And if blind leads blind, both shall fall into the pit.""Don’t be afraid to take your own path, give up teachings, labels and idols. After all, the only way to see the complete picture of the world and truly understand it is to discover everything by oneself. That’s the only way to selfdevelopment.","['https://antonlisin.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/antonlisinrussia/?ref=russianstreetwear.club', 'https://vk.com/antonlisinrussia?ref=russianstreetwear.club']"
204,БИЧ,Москва,"БИЧ — (Бывший Интеллигентный Человек) марка одежды с российской историей для людей и про людей.Бич живёт в каждом из нас, потому что это огромная составляющая сознания русского человека, как национальный код).Это о том, как мы не вписываемся в систему, о нашем непобедимом инфантилизме, о каждодневных привычках, о настоящей жизни и неустроенности быта, о навязчивой идее свободы и отказе от «социальных норм».Бич — это взгляд на себя со стороны.","['https://www.instagram.com/bich_blog/?ref=russianstreetwear.club', 'https://vk.com/bich_blog?ref=russianstreetwear.club']"
205,ВОЛЧОК,Москва,"ВОЛЧОК — ответ на ставший риторическим в России вопрос «Как здесь можно жить?»В основе политики бренда лежат демократические цены и создание вещей, которые принадлежат покупателю, а не порабощают его. Главными источниками вдохновения для марки являются искусство, культурные и социальные явления. С помощью дизайна повседневной одежды команда ВОЛЧКА транслирует собственное видение происходящего в обществе и мире.Сложному дизайну бренд предпочитает лаконичность кроя и смысловую наполненность — каждая коллекция несет в себе ряд идей, объединенных общей концепцией. Для передачи атмосферы и настроения вокруг коллекций большое внимание уделяется презентациям, имиджевым фото- и видеосъемкам.За время своего существования бренд перерос в проект, цель которого — объединять смелых и талантливых людей из самых разных субкультур и сфер деятельности, предоставляя им пространство для творческого самовыражения и взаимодействия. Бренд регулярно сотрудничает с художниками, музыкантами, фотографами, видеографами, иллюстраторами, моделями, часто предоставляя им возможность попробовать себя в том, чего они никогда не делали раньше.Свободу фантазии противопоставлять стереотипам, смелость — лицемерию — такие идеи определили вектор развития проекта. Герои бренда не желают прозябать на задворках, не ждут более удачного момента, чтобы начать жить — они хотят творчески реализоваться здесь и сейчас, при этом не утратив личную свободу и самобытность.Вместо того, чтобы культивировать ужасы современной России и шокировать ими зарубежную аудиторию, ВОЛЧОК обращается к героям, творящим новую историю и новую культуру сегодня.","['https://volchok.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/volchokclothing/?ref=russianstreetwear.club', 'https://vk.com/volchok?ref=russianstreetwear.club']"
206,Гидроплан,Москва,"ГИДРОПЛАН — это амальгама сюрреализма и светоотражающих тканей в эфирном пространстве. Концепцией соединения является трансформация внутреннего состояния через внешний образ Идея бренда зародилась в 2015 году в шоп-студии DooDooStudio.ru, магазин занимался подбором эксклюзивного party ассортимента из одежды и аксессуаров, что в последующем проявилось в арт-глитч проекте Гидроплан. Все модели выпускаются в ограниченных или единичных версиях и собираются вручную","['http://gidroplan.com/?ref=russianstreetwear.club', 'https://www.instagram.com/doodoostudio/?ref=russianstreetwear.club', 'https://vk.com/doodoostudio?ref=russianstreetwear.club']"
207,Горе,Тула,.,"['https://www.instagram.com/gore_clothing/?ref=russianstreetwear.club', 'https://vk.com/goreclothing?ref=russianstreetwear.club']"
208,Город Горький,Нижний Новгород,"История нашего бренда началась с небольшого магазина по продаже брендовых вещей из Европы. Тогда мы продавали Стон Айленд, Напапири, Фред Перри и прочее. В 2015 году пришла идея создать линию одежды в уличном стиле с составляющими милитари-эстетики и фанатской субкультуры. Одежду «Город Горький» отличают функциональные детали, практичность и чёткая лаконичность. Мы делаем одежду для человека с активным образом жизни и активной жизненной позицией. Нам нравится гордиться тем, что мы делаем и видеть восторженные глаза фанатов бренда, поэтому качество для нас самое главное. Обеспечить нужный нам уровень качества не смогло ни одно из многочисленных производств, на которые мы обращались. Тогда в конце 2015 года мы открыли свое первое производство. На сегодняшний день мы производим: анораки, ветровки, зимние парки, свитшоты, штаны, футболки, лонгсливы, худи, сумки, шапки, и кое-что другое. Результат стараний работы нашей команды — сертифицированная качественная и стильная одежда и многочисленные восторженные отзывы покупателей, а также растущая популярность.","['https://www.gorod-gorky.ru/?ref=russianstreetwear.club', 'https://instagram.com/gorod_gorky_odezhda?ref=russianstreetwear.club', 'https://vk.com/gorkystore?ref=russianstreetwear.club']"
209,ДЮБЕЛЬ,Санкт-Петербург,"Делаю красиво. Для вас, как для себя.",['https://vk.com/dyoubell?ref=russianstreetwear.club']
210,Исход,Магнитогорск,"Исход - это бренд уличной одежды,появившийся в сентябре 2020 года на суровых улицах г. Магнитогорска. Мы делаем вещи для стильной, современной молодёжи. Исход - это выбор нынешнего поколения!","['https://www.instagram.com/ucxod.brand?ref=russianstreetwear.club', 'https://vk.com/ucxod_brand?ref=russianstreetwear.club']"
211,Кисленько,Москва, ,"['https://www.instagram.com/kislenkoracing/?ref=russianstreetwear.club', 'https://vk.com/kislenkoracing?ref=russianstreetwear.club']"
212,колос,Красноярск,"Бренд одежды вдохновленный антуражем необъятной, её историей и самым главным - людьми. Основан в июле 2017-го года.","['https://www.instagram.com/kolos_clothes/?ref=russianstreetwear.club', 'https://vk.com/kolos_clothes?ref=russianstreetwear.club']"
213,Кружок,Москва,"""Создатель «Кружка», его авторы, его персонажи, весь мир и реальность вместе образуют четко очерченное единство: это территория с конкретной картой, где слушают свою музыку, посещают свои места, носят правильную одежду. Это ода, воспевающая с безмятежной печалью разрыв современного человека и мира"". Светлана Тэйлор","['https://kruzhok.store/?ref=russianstreetwear.club', 'https://www.instagram.com/kruzhok.moscow/?ref=russianstreetwear.club', 'https://vk.com/kruzhok.moscow?ref=russianstreetwear.club']"
214,КУЛЬТРАБ,Москва,"Бренд одежды и сообщество активистов, художников и музыкантов.","['https://kultrab.com/?ref=russianstreetwear.club', 'https://www.instagram.com/kultrab/?ref=russianstreetwear.club', 'https://vk.com/kultrab?ref=russianstreetwear.club']"
215,Ларус Одежда,Москва,"Лару́с - это московский бренд одежды и аксессуаров. Вещи Ларус производятся с акцентом на качество, внимание к деталям и комфорт. Коллекции, объединяющие вещи в тематические линейки, выходят под номерами и не переиздаются. Все вещи производятся в Москве из материалов высшего качества по собственным лекалам.","['https://larusodejda.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/larusodejda/?ref=russianstreetwear.club', 'https://vk.com/larusodejda?ref=russianstreetwear.club']"
216,ЛАШАЗ,Москва,∞,"['https://www.instagram.com/livelovelachaise/?ref=russianstreetwear.club', 'https://vk.com/livelovelachaise?ref=russianstreetwear.club']"
217,ЛУЧ,Нижний Новгород,"ЛУЧ — магазин почтальонок и одежды разных силуэтов и форм.Нам нравится дарить каждой вещи настроение, выражая его в тканях, цветах, фотокарточках, бирках, упаковке и самых маленьких деталях.","['https://lychproject.com/?ref=russianstreetwear.club', 'https://www.instagram.com/lych.project/?ref=russianstreetwear.club', 'https://vk.com/lych.project?ref=russianstreetwear.club']"
218,ЛФК.ВИР,Калуга,"Небольшой бренд из Калуги с кучей идей и амбиций. Основная идея которого - это создание вещей ""как для себя"", без слепой погони за трендами.","['http://www.instagram.com/lastfastcast?ref=russianstreetwear.club', 'https://vk.com/lfcwear?ref=russianstreetwear.club']"
219,МАКСИМ МАКСАКОВ,Москва,None,"['https://maximmaksakov.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/maximmaksakov/?ref=russianstreetwear.club', 'https://vk.com/maximmaksakov1999?ref=russianstreetwear.club']"
220,МЕЧ,Москва,"МЕЧ — это воплощение культуры города, отражение ее непрекращающегося развития.","['https://mech.moscow/?ref=russianstreetwear.club', 'https://www.instagram.com/mech.moscow/?ref=russianstreetwear.club', 'https://vk.com/mech.moscow?ref=russianstreetwear.club']"
221,Молодость,Пермь,"Молодость – это дух современной молодежи. Главные особенности бренда, рожденного на Урале - актуальные принты, свободные фасоны и яркие цвета. Мы часть тебя.Молодого, современного и обезбашенного.","['https://molodostwear.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/molodostwear/?ref=russianstreetwear.club', 'https://vk.com/molodostbrand?ref=russianstreetwear.club']"
222,Нелевонид,Санкт-Петербург, ,"['https://t.me/nelevonid?ref=russianstreetwear.club', 'https://www.instagram.com/nelevonid/?ref=russianstreetwear.club', 'https://vk.com/nelevonidd?ref=russianstreetwear.club']"
